Question,Answer
HCom Head of commerce department Ullas Chopra sir?,Ullas Chopra is HOD of commerce department his qualification is M Com MBA.He has 17 years of experience.5 books and 3 papers published by him in commerce field.
 
HEng Head of english department Pardeep Celly sir?,Pardeep Celly is HOD of english department his qualification is MA. He has 27 years of experience.5 books published by him in english field.

HPun Head of punjabi department Dr Malkiat Singh sir?,Dr Malkiat Singh is HOD of punjabi department his qualification is MA M Phil Ph D.He has 26 years of experience.2 books and 5 papers published by him in punjabi field.

HMa Head of Mathematics department Madan Mohan sir?,Mr Madan Mohan is HOD of Mathematics department his qualification is MSc, M Phil,NET .He has 27 years of experience.4 books published by him in Mathematics field.

Teachers Teacher Faculty,There are approx 20-30 teachers in each department They are very intelligent gentle and humble teachersand all are experienced in their subjects   

Fees College Fee Structure?,Sorry my creator don't allow me to tell anyone.You have to come in college for it.

Admission Criteria?,You have to come to the college and then select your course and take admission.

infrastructure look beauty of college?,DAV College spacious facilities remarkable resources and good infrastructure.

************************************************* LABS FACILITY *************************************
lab physics labs chemistry labs math labs science labs?,DAV College provides well structured and fully AC LABS and you can also do your work anytime in lab.I am AI bot so I can't see the lab you can search its infrastructure on website.

fests seminar fest compitions programs motivational talks talk seminars,College organizes many programs compitions fests seminars and many more to improve students overall personality. 

Placement INTERNSHIP/ APPRENTICESHIP provided by college?,The college has taken an initiative of providing Internship/ Apprenticeships to the students of UG and PG classes. For this college has collaborated with different companies and professionals to give first hand practical training to the students.

College library facility?,The College Library is equipped with the latest library automated software to provide an efficient service and scholar-friendly atmosphere \n It also has a number of books files discussion papers and a range of periodicals

************************************* Placement Cell/NCC,NSS **********************************************
Placement Cell of college?,Every year our College has posted excellent record in the campus placement processes.The placement cell caters for enhancing not only the employability skills of the passing out students but also the overall development of their personality.The students are hired by a good mix of companies from varied sectors including IT, Banking, Sports, Communication etc.

NSS,National Service Scheme based on Swami Vivekananda's teachings has been introduced in the college through the University by the Ministry of Youth Affairs and Sports Government of India \n It provides opportunities to the students to gain valuable practical experience in community service through programmes such as eradication of illiteracy slum clearing road building voluntary health service agricultural development removal of untouchability family planning national integration campaigns and other national development project

NCC,At present the college maintains two companies of NCC Infantry three units of Naval Wing and one section NCC Air \n The students can join NCC in any of the three wings \n The NCC cadets are issued uniforms and other accessories which they are expected to use with care during the training period

********************************************* Health Care *************************************************
Health care center?,The College Health Centre is fully equipped for providing first aid to the emergent cases under the charge of a qualified medical Officer.

facility of Hostel?,Hostel facilities is provided by college for both boys and girls.

facility of IIC in college?,Innovation cell of DAV College Amritsar was established under Institution’s Innovation Council with the aim to foster ingenuity and creativity among students and faculty members

Blood bank?,To cater to the poor and the needy patients by providing blood.To provide requisite units of blood to save precious lives.To inculcate the sense of social responsibility.24 x 7 service provided by the college.

Call to college contact with college How to contact with college?,\n Ph.No : 0183-2553377 or 2534971 \n Email: 1.davasr@yahoo.com \n 2.davasrcollege@gmail.com \n 3.info@davcollegeasr.org \n Website:www.davcollegeasr.org

ThankYou Bye ok that's all quit?,Thanks for using our services.Connect with me again for more details about college👋.
